Assam,BONGAIGAON,2008,Winter     ,Rice,36346,41200,,
Assam,BONGAIGAON,2009,Autumn     ,Rice,20782,14732,,
Assam,BONGAIGAON,2009,Summer     ,Rice,10028,23102,,
Assam,BONGAIGAON,2009,Winter     ,Rice,34421,39073,,
Assam,BONGAIGAON,2010,Autumn     ,Rice,16142,12826,,
Assam,BONGAIGAON,2010,Summer     ,Rice,10680,35104,,
Assam,BONGAIGAON,2010,Winter     ,Rice,34806,52651,,
Assam,BONGAIGAON,2011,Autumn     ,Rice,15953,17728,,
Assam,BONGAIGAON,2011,Summer     ,Rice,10507,31151,,
Assam,BONGAIGAON,2011,Winter     ,Rice,36205,48899,,
Assam,BONGAIGAON,2012,Autumn     ,Rice,12922,16900,,
Assam,BONGAIGAON,2012,Summer     ,Rice,10740,31907,,
Assam,BONGAIGAON,2012,Winter     ,Rice,35931,57117,,
Assam,BONGAIGAON,2013,Autumn     ,Rice,11021,17595,,
Assam,BONGAIGAON,2013,Summer     ,Rice,13070,38727,,
Assam,BONGAIGAON,2013,Winter     ,Rice,32690,66164,,
Assam,BONGAIGAON,2014,Autumn     ,Rice,5865,7909,,
Assam,BONGAIGAON,2014,Summer     ,Rice,11685,38969,,
Assam,BONGAIGAON,2014,Winter     ,Rice,35299,69061,,
Assam,CACHAR,1997,Autumn     ,Rice,8278,7956,,
Assam,CACHAR,1997,Summer     ,Rice,7200,7843,,
Assam,CACHAR,1997,Winter     ,Rice,88000,94250,,
Assam,CACHAR,1998,Autumn     ,Rice,8500,11894,,
Assam,CACHAR,1998,Summer     ,Rice,6800,11220,,
Assam,CACHAR,1998,Winter     ,Rice,87641,179644,,
Assam,CACHAR,1999,Autumn     ,Rice,7800,7199,,
Assam,CACHAR,1999,Summer     ,Rice,7800,13416,,
Assam,CACHAR,1999,Winter     ,Rice,87864,161235,,
Assam,CACHAR,2000,Autumn     ,Rice,12000,26674,,
Assam,CACHAR,2000,Summer     ,Rice,8000,17616,,
Assam,CACHAR,2000,Winter     ,Rice,84000,177395,,
Assam,CACHAR,2001,Autumn     ,Rice,9000,18819,,
Assam,CACHAR,2001,Summer     ,Rice,9000,12015,,
Assam,CACHAR,2001,Winter     ,Rice,84093,193910,,
Assam,CACHAR,2002,Autumn     ,Rice,9010,17300,,
Assam,CACHAR,2002,Summer     ,Rice,9110,15943,,
Assam,CACHAR,2002,Winter     ,Rice,87000,186815,,
Assam,CACHAR,2003,Autumn     ,Rice,9250,18799,,
Assam,CACHAR,2003,Summer     ,Rice,9865,0,,
Assam,CACHAR,2003,Winter     ,Rice,90081,215840,,
Assam,CACHAR,2004,Autumn     ,Rice,10174,2140,,
Assam,CACHAR,2004,Summer     ,Rice,9990,14835,,
Assam,CACHAR,2004,Winter     ,Rice,82968,148467,,
Assam,CACHAR,2005,Autumn     ,Rice,9411,18157,,
Assam,CACHAR,2005,Summer     ,Rice,10261,16722,,
Assam,CACHAR,2005,Winter     ,Rice,90194,183913,,
Assam,CACHAR,2006,Autumn     ,Rice,4070,6344,,
Assam,CACHAR,2006,Summer     ,Rice,7819,8100,,
Assam,CACHAR,2006,Winter     ,Rice,89689,151116,,
Assam,CACHAR,2007,Autumn     ,Rice,10130,16238,,
Assam,CACHAR,2007,Summer     ,Rice,9680,18533,,
Assam,CACHAR,2007,Winter     ,Rice,79842,64012,,
Assam,CACHAR,2008,Autumn     ,Rice,8350,13808,,
Assam,CACHAR,2008,Summer     ,Rice,9560,21126,,
Assam,CACHAR,2008,Winter     ,Rice,93610,199711,,
Assam,CACHAR,2009,Autumn     ,Rice,8276,16457,,
Assam,CACHAR,2009,Summer     ,Rice,8902,6448,,
Assam,CACHAR,2009,Winter     ,Rice,93082,204084,,
Assam,CACHAR,2010,Autumn     ,Rice,8359,16087,,
Assam,CACHAR,2010,Summer     ,Rice,7332,14228,,
Assam,CACHAR,2010,Winter     ,Rice,88908,195008,,
Assam,CACHAR,2011,Autumn     ,Rice,7700,13116,,
Assam,CACHAR,2011,Summer     ,Rice,7990,14971,,
Assam,CACHAR,2011,Winter     ,Rice,90682,177981,,
Assam,CACHAR,2012,Autumn     ,Rice,7680,15518,,
Assam,CACHAR,2012,Summer     ,Rice,7547,14736,,
Assam,CACHAR,2012,Winter     ,Rice,91912,202725,,
Assam,CACHAR,2013,Autumn     ,Rice,6430,10288,,
Assam,CACHAR,2013,Summer     ,Rice,7700,12958,,
Assam,CACHAR,2013,Winter     ,Rice,82347,153041,,
Assam,CACHAR,2014,Autumn     ,Rice,6752,13796,,
Assam,CACHAR,2014,Summer     ,Rice,8235,16088,,
Assam,CACHAR,2014,Winter     ,Rice,92895,216009,,
Assam,CHIRANG,2005,Autumn     ,Rice,10417,8313,,
Assam,CHIRANG,2005,Summer     ,Rice,3438,5583,,
Assam,CHIRANG,2005,Winter     ,Rice,29259,35506,,
Assam,CHIRANG,2006,Autumn     ,Rice,15038,13303,,
